idx,y_true,y_prob_rf
0,1,0.155
1,0,0.0775
2,0,0.065
3,0,0.0975
4,0,0.0575
5,0,0.035
6,0,0.015
7,0,0.0775
8,0,0.11
9,0,0.075
10,0,0.11
11,0,0.0225
12,0,0.2125
13,0,0.1225
14,0,0.045
15,0,0.025
16,0,0.1075
17,0,0.08
18,0,0.0125
19,0,0.0225
20,0,0.085
21,0,0.13
22,0,0.21
23,0,0.0875
24,0,0.1925
25,0,0.0375
26,0,0.08
27,0,0.18
28,0,0.075
29,0,0.055
30,0,0.07
31,0,0.075
32,1,0.16
33,0,0.2025
34,1,0.0725
35,0,0.0075
36,0,0.125
37,0,0.095
38,0,0.0025
39,0,0.155
40,0,0.155
41,0,0.1125
42,0,0.055
43,0,0.2075
44,0,0.1
45,0,0.145
46,0,0.0825
47,0,0.05
48,0,0.0225
49,0,0.2975
50,0,0.04
51,0,0.1325
52,0,0.195
53,0,0.055
54,0,0.115
55,0,0.11
56,0,0.15
57,0,0.1375
58,0,0.0525
59,0,0.0625
60,0,0.0775
61,0,0.04
62,0,0.02
63,0,0.1275
64,0,0.0375
65,0,0.04
66,0,0.02
67,0,0.0925
68,0,0.035
69,0,0.1025
70,0,0.09
71,0,0.0525
72,0,0.0375
73,0,0.05
74,0,0.0375
75,1,0.1075
76,0,0.0775
77,0,0.215
78,0,0.1375
79,0,0.1225
80,0,0.105
81,0,0.0975
82,0,0.235
83,0,0.07
84,0,0.035
85,0,0.015
86,0,0.0375
87,1,0.1525
88,0,0.13
89,0,0.015
90,0,0.0425
91,0,0.0725
92,0,0.02
93,0,0.0775
94,0,0.27
95,0,0.0425
96,0,0.05
97,0,0.2225
98,0,0.05
99,0,0.0925
100,0,0.4225
101,0,0.0875
102,0,0.11
103,0,0.0375
104,0,0.0825
105,0,0.12
106,0,0.045
107,0,0.0425
108,0,0.035
109,0,0.0175
110,0,0.0825
111,0,0.235
112,0,0.14
113,0,0.045
114,0,0.025
115,0,0.06
116,0,0.0475
117,0,0.125
118,0,0.0125
119,0,0.055
120,0,0.045
121,0,0.1325
122,0,0.0175
123,0,0.115
124,0,0.0475
125,1,0.155
126,0,0.1125
127,0,0.07
128,0,0.0125
129,0,0.0575
130,0,0.055
131,0,0.09
132,0,0.0325
133,0,0.0475
134,0,0.0725
135,0,0.0925
136,0,0.055
137,0,0.1125
138,0,0.0275
139,0,0.125
140,0,0.0925
141,0,0.08
142,0,0.325
143,0,0.0475
144,0,0.0475
145,1,0.0725
146,0,0.1375
147,0,0.1775
148,0,0.2225
149,0,0.03
150,0,0.02
151,0,0.0375
152,0,0.0425
153,0,0.07
154,0,0.05
155,0,0.0525
156,0,0.075
157,0,0.045
158,0,0.0775
159,0,0.0725
160,0,0.1425
161,0,0.03
162,0,0.03
163,0,0.1325
164,0,0.0675
165,0,0.185
166,0,0.085
167,0,0.04
168,0,0.045
169,0,0.1175
170,0,0.025
171,0,0.115
172,0,0.21
173,1,0.33
174,0,0.155
175,0,0.0625
176,0,0.075
177,0,0.195
178,0,0.1025
179,0,0.0325
180,0,0.08
181,0,0.0075
182,0,0.055
183,0,0.0775
184,0,0.06
185,0,0.1075
186,0,0.225
187,0,0.005
188,0,0.0575
189,0,0.0875
190,0,0.0625
191,0,0.05
192,0,0.17
193,0,0.0925
194,0,0.03
195,0,0.235
196,0,0.0875
197,0,0.02
198,0,0.1625
199,0,0.0825
200,0,0.0275
201,0,0.0125
202,0,0.0475
203,0,0.07
204,1,0.02
205,0,0.01
206,0,0.2025
207,0,0.1275
208,0,0.1275
209,0,0.045
210,0,0.0825
211,0,0.0875
212,0,0.095
213,1,0.12
214,1,0.245
215,0,0.2125
216,0,0.09
217,0,0.0575
218,0,0.085
219,0,0.07
220,0,0.04
221,0,0.1675
222,0,0.1125
223,0,0.085
224,0,0.17
225,0,0.055
226,0,0.11
227,0,0.1575
228,0,0.065
229,0,0.0275
230,0,0.0075
231,0,0.2025
232,1,0.29
233,0,0.0625
234,0,0.03
235,0,0.1
236,0,0.115
237,0,0.1175
238,0,0.0075
239,0,0.0275
240,1,0.07
241,0,0.05
242,0,0.0325
243,0,0.02
244,0,0.2175
245,0,0.115
246,0,0.0325
247,0,0.075
248,0,0.05
249,0,0.05
250,0,0.2775
251,0,0.105
252,0,0.0375
253,0,0.0925
254,0,0.0575
255,0,0.06
256,0,0.0225
257,0,0.0425
258,0,0.0325
259,0,0.0325
260,0,0.0575
261,0,0.0775
262,0,0.185
263,0,0.005
264,0,0.055
265,0,0.065
266,0,0.075
267,0,0.025
268,0,0.085
269,0,0.1425
270,0,0.1625
271,0,0.0225
272,0,0.145
273,0,0.19
274,0,0.09
275,0,0.0275
276,0,0.0575
277,0,0.175
278,0,0.08
279,0,0.0125
280,0,0.055
281,1,0.265
282,0,0.06
283,0,0.055
284,0,0.195
285,0,0.105
286,0,0.0925
287,0,0.0675
288,0,0.11
289,0,0.055
290,0,0.025
291,0,0.0425
292,0,0.055
293,0,0.0125
294,0,0.04
295,0,0.1175
296,0,0.09
297,1,0.125
298,0,0.07
299,0,0.1525
300,0,0.02
301,0,0.155
302,0,0.1275
303,0,0.2025
304,0,0.2525
305,0,0.0875
306,0,0.095
307,0,0.04
308,0,0.055
309,0,0.0625
310,1,0.245
311,0,0.1175
312,0,0.0675
313,0,0.035
314,0,0.08
315,0,0.0325
316,0,0.0375
317,0,0.1325
318,0,0.2575
319,0,0.18
320,0,0.0575
321,0,0.0725
322,0,0.035
323,0,0.0625
324,0,0.0525
325,0,0.105
326,0,0.0675
327,1,0.2475
328,0,0.1425
329,0,0.0175
330,0,0.175
331,1,0.13
332,0,0.12
333,0,0.115
334,0,0.0575
335,0,0.17
336,1,0.1075
337,0,0.025
338,0,0.005
339,0,0.075
340,0,0.0825
341,0,0.135
342,0,0.065
343,0,0.0325
344,0,0.145
345,0,0.0325
346,0,0.185
347,0,0.0525
348,0,0.16
349,0,0.145
350,0,0.0875
351,0,0.0425
352,0,0.0775
353,0,0.165
354,0,0.2025
355,0,0.1575
356,0,0.04
357,0,0.045
358,0,0.035
359,0,0.0775
360,0,0.1
361,0,0.125
362,0,0.07
363,0,0.115
364,0,0.08
365,0,0.2725
366,0,0.07
367,0,0.045
368,0,0.0425
369,0,0.22
370,0,0.0775
371,0,0.05
372,1,0.2275
373,1,0.195
374,0,0.065
375,0,0.04
376,0,0.02
377,0,0.065
378,1,0.1925
379,0,0.2375
380,0,0.1325
381,0,0.025
382,0,0.1175
383,0,0.065
384,0,0.2625
385,0,0.06
386,0,0.075
387,0,0.0575
388,0,0.0475
389,0,0.0125
390,1,0.12
391,0,0.045
392,0,0.125
393,0,0.0425
394,0,0.13
395,0,0.0875
396,0,0.0375
397,0,0.0075
398,0,0.0475
399,0,0.1
400,0,0.105
401,0,0.04
402,0,0.0425
403,0,0.1075
404,0,0.125
405,0,0.025
406,0,0.0625
407,0,0.065
408,0,0.0525
409,0,0.095
410,0,0.06
411,0,0.075
412,0,0.11
413,0,0.1375
414,0,0.1225
415,0,0.105
416,0,0.07
417,0,0.0475
418,0,0.03
419,0,0.125
420,0,0.0325
421,0,0.0425
422,0,0.1175
423,0,0.0425
424,0,0.0375
425,0,0.0425
426,0,0.0325
427,0,0.0775
428,0,0.035
429,0,0.05
430,0,0.0325
431,0,0.0225
432,0,0.0925
433,0,0.0325
434,0,0.1675
435,0,0.065
436,1,0.085
437,0,0.0175
438,0,0.1575
439,0,0.035
440,0,0.0575
441,0,0.0275
442,0,0.0775
443,0,0.045
444,1,0.13
445,0,0.08
446,0,0.255
447,1,0.4125
448,1,0.15
449,0,0.0325
450,0,0.0825
451,0,0.1325
452,0,0.12
